                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0655,                 2.9829,                 1.2242,                0.47127,                0.21326,                0.14438,                0.11166,                0.88037,                 1.8032,                 1.0949,               0.070201,               0.003311,               0.003311
                      1,                0.92677,                 1.8317,                 1.0973,                0.45404,                0.26242,                0.17322,                 0.1351,                0.88081,                 1.6062,                 1.0894,               0.040136,              0.0065785,              0.0065785
                      2,                0.95722,                 1.7385,                 1.1003,                0.46697,                0.24965,                0.17097,                0.13033,                0.97264,                 1.7995,                 1.1415,               0.010004,              0.0097801,              0.0097801
                      3,                0.97722,                 1.7004,                  1.118,                0.51656,                0.23397,                0.17515,                0.13107,                 1.0006,                 1.7431,                 1.1629,               0.009703,               0.009703,               0.009703
                      4,                0.97512,                 1.6352,                 1.1188,                0.48823,                0.23885,                0.19248,                0.14756,                0.97461,                 1.7351,                 1.1499,               0.009703,               0.009703,               0.009703
                      5,                0.96939,                 1.5776,                 1.1177,                0.53039,                0.25877,                0.20861,                0.15907,                0.96876,                 1.5697,                 1.1561,               0.009604,               0.009604,               0.009604
                      6,                0.95926,                 1.5321,                 1.1108,                0.54502,                0.23325,                0.20947,                0.16069,                0.97049,                 1.5424,                 1.1511,               0.009505,               0.009505,               0.009505
                      7,                 0.9376,                 1.5203,                 1.1068,                0.48808,                0.27387,                0.22478,                0.17514,                0.93273,                 1.4779,                 1.1265,               0.009406,               0.009406,               0.009406
                      8,                0.92719,                  1.471,                 1.0987,                0.59349,                0.24402,                0.24248,                0.18999,                0.92405,                 1.4934,                 1.1187,               0.009307,               0.009307,               0.009307
                      9,                0.92689,                 1.4412,                 1.0924,                0.53686,                0.25894,                0.24241,                0.18963,                0.91814,                 1.4085,                 1.1188,               0.009208,               0.009208,               0.009208
                     10,                0.91294,                 1.4248,                 1.0846,                0.52466,                  0.311,                0.26146,                0.20374,                0.91112,                  1.384,                 1.1095,               0.009109,               0.009109,               0.009109
                     11,                0.90737,                 1.3815,                  1.087,                0.56022,                0.27239,                0.27122,                0.21485,                0.89395,                 1.3901,                 1.1093,                0.00901,                0.00901,                0.00901
                     12,                0.89824,                 1.3534,                 1.0748,                0.58266,                0.28461,                0.27298,                0.21476,                0.88341,                 1.3835,                 1.0887,               0.008911,               0.008911,               0.008911
                     13,                 0.8819,                 1.3201,                 1.0702,                0.63044,                0.28496,                0.29084,                0.22889,                 0.8748,                 1.3257,                 1.0949,               0.008812,               0.008812,               0.008812
                     14,                0.87957,                 1.3134,                 1.0681,                0.65065,                0.28983,                0.28986,                0.22714,                0.89429,                  1.346,                 1.1097,               0.008713,               0.008713,               0.008713
                     15,                0.86008,                  1.287,                 1.0608,                0.61018,                0.30265,                0.30671,                0.24598,                0.86041,                 1.3134,                   1.09,               0.008614,               0.008614,               0.008614
                     16,                0.84921,                 1.2375,                  1.049,                0.61216,                0.30053,                0.30741,                0.24574,                0.88029,                 1.2923,                  1.104,               0.008515,               0.008515,               0.008515
