                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0366,                 1.9753,                 1.1742,                0.62133,                0.67309,                0.69368,                0.53924,                0.85213,                 1.0086,                 1.0768,               0.070189,              0.0033124,              0.0033124
                      1,                0.91079,                 1.1018,                 1.0815,                0.75843,                0.66132,                  0.749,                0.58313,                 0.8726,                0.93892,                  1.071,               0.040123,              0.0065799,              0.0065799
                      2,                0.94225,                 1.0837,                 1.0929,                0.69881,                0.63005,                0.68933,                0.51318,                0.96797,                 1.0139,                 1.1327,              0.0099911,              0.0097815,              0.0097815
                      3,                0.97773,                 1.0961,                 1.1061,                0.69552,                0.61941,                0.68321,                0.50498,                0.95085,                 1.0271,                 1.1184,               0.009703,               0.009703,               0.009703
                      4,                0.98388,                 1.0727,                 1.1066,                0.68682,                0.69054,                0.73237,                0.54375,                0.97496,                0.99571,                 1.1371,               0.009703,               0.009703,               0.009703
                      5,                0.96809,                 1.0268,                 1.1019,                0.71409,                0.68427,                0.74384,                0.55919,                 0.9134,                0.95004,                 1.1125,               0.009604,               0.009604,               0.009604
                      6,                0.94347,                0.99788,                 1.0902,                 0.7329,                 0.6734,                0.74539,                0.56117,                0.93045,                 0.9069,                 1.1087,               0.009505,               0.009505,               0.009505
                      7,                0.94186,                0.98625,                 1.0862,                0.77272,                0.70013,                0.78674,                0.59236,                0.93616,                 0.9007,                 1.1016,               0.009406,               0.009406,               0.009406
                      8,                0.93566,                0.96408,                 1.0799,                0.79029,                0.68516,                0.77732,                0.58755,                 0.9207,                0.89304,                 1.0932,               0.009307,               0.009307,               0.009307
                      9,                  0.923,                 0.9513,                 1.0832,                0.78369,                 0.6756,                0.76851,                0.58195,                 0.9295,                0.89656,                 1.1218,               0.009208,               0.009208,               0.009208
                     10,                0.90615,                0.93851,                 1.0705,                0.76482,                  0.693,                0.77011,                0.58431,                0.91357,                 0.8698,                 1.1062,               0.009109,               0.009109,               0.009109
                     11,                0.89765,                0.91325,                 1.0702,                0.78839,                  0.698,                0.79049,                0.61527,                0.88523,                0.85995,                 1.0855,                0.00901,                0.00901,                0.00901
                     12,                0.89453,                0.91032,                 1.0639,                0.78513,                0.69706,                0.78626,                0.60782,                0.89239,                0.88119,                 1.0944,               0.008911,               0.008911,               0.008911
                     13,                  0.883,                0.89738,                 1.0585,                 0.7961,                0.69273,                0.79375,                0.61875,                0.86927,                0.78959,                 1.0749,               0.008812,               0.008812,               0.008812
                     14,                0.87846,                 0.8773,                 1.0567,                0.82953,                0.67955,                0.80153,                0.62592,                0.85777,                0.80913,                 1.0736,               0.008713,               0.008713,               0.008713
                     15,                0.87166,                0.87404,                 1.0527,                0.80109,                0.74774,                0.81984,                0.63497,                0.87799,                0.79448,                 1.0776,               0.008614,               0.008614,               0.008614
                     16,                0.86782,                0.84341,                 1.0522,                0.82353,                0.70514,                0.80501,                0.63269,                0.86399,                 0.7938,                 1.0729,               0.008515,               0.008515,               0.008515
                     17,                0.84799,                0.83184,                 1.0384,                0.82368,                0.71826,                0.82168,                 0.6468,                0.84014,                0.76281,                 1.0602,               0.008416,               0.008416,               0.008416
                     18,                0.83941,                0.81604,                 1.0367,                0.82795,                0.70111,                0.80385,                0.63238,                0.84219,                0.77417,                 1.0671,               0.008317,               0.008317,               0.008317
                     19,                0.84289,                0.80486,                 1.0353,                0.81615,                0.70971,                0.81732,                0.64197,                0.83425,                0.76139,                  1.058,               0.008218,               0.008218,               0.008218
                     20,                0.83276,                0.79632,                 1.0312,                0.80984,                0.74369,                0.82407,                0.64791,                0.84644,                 0.7495,                 1.0685,               0.008119,               0.008119,               0.008119
                     21,                0.82886,                0.80876,                 1.0321,                0.80208,                0.76328,                0.84019,                0.66174,                0.83784,                0.75437,                 1.0599,                0.00802,                0.00802,                0.00802
                     22,                0.81815,                0.78628,                  1.025,                0.78642,                0.72775,                0.80704,                0.63738,                0.83708,                0.76518,                 1.0624,               0.007921,               0.007921,               0.007921
                     23,                0.82394,                0.78854,                 1.0261,                0.78719,                0.73141,                0.81467,                 0.6399,                0.83955,                0.78336,                 1.0673,               0.007822,               0.007822,               0.007822
                     24,                0.81318,                0.77324,                 1.0264,                0.78895,                0.76369,                  0.826,                0.65302,                0.83832,                0.74657,                 1.0643,               0.007723,               0.007723,               0.007723
                     25,                0.80727,                0.77478,                 1.0217,                0.82415,                0.74899,                0.83835,                0.66745,                0.83328,                 0.7243,                 1.0611,               0.007624,               0.007624,               0.007624
                     26,                 0.8019,                0.76345,                 1.0187,                0.80094,                0.76292,                0.83584,                0.66098,                0.83741,                 0.7228,                 1.0543,               0.007525,               0.007525,               0.007525
                     27,                0.79084,                0.75138,                 1.0153,                0.79357,                0.76362,                0.83519,                0.66254,                0.82708,                0.72226,                 1.0572,               0.007426,               0.007426,               0.007426
                     28,                0.78825,                0.75313,                 1.0094,                0.76457,                 0.7972,                0.83521,                0.66366,                0.80595,                0.70513,                 1.0411,               0.007327,               0.007327,               0.007327
                     29,                0.78884,                0.74088,                 1.0149,                0.82321,                0.74388,                0.83111,                0.66157,                0.82364,                0.74108,                 1.0631,               0.007228,               0.007228,               0.007228
