                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0366,                 1.9753,                 1.1742,                0.62133,                0.67309,                0.69368,                0.53924,                0.85213,                 1.0086,                 1.0768,               0.070189,              0.0033124,              0.0033124
                      1,                0.91047,                 1.1016,                 1.0819,                 0.7028,                0.69132,                0.73819,                0.56954,                0.86789,                 0.9217,                 1.0684,               0.040167,              0.0066238,              0.0066238
                      2,                0.94474,                 1.0925,                 1.0901,                0.70392,                0.62867,                0.70556,                0.51591,                0.96154,                 1.0519,                 1.1226,               0.010123,              0.0099132,              0.0099132
                      3,                0.98629,                 1.1054,                 1.1098,                0.64611,                0.55573,                0.62842,                0.46528,                0.96545,                 1.0752,                 1.1237,               0.009901,               0.009901,               0.009901
                      4,                0.98565,                 1.0762,                 1.1077,                0.72471,                0.67443,                0.73252,                 0.5438,                0.96135,                 1.0173,                   1.13,               0.009901,               0.009901,               0.009901
                      5,                 0.9703,                 1.0345,                 1.1029,                0.74434,                0.66706,                0.74472,                0.55607,                0.93734,                0.92152,                 1.1177,               0.009868,               0.009868,               0.009868
                      6,                0.95065,                 1.0235,                 1.0957,                  0.704,                0.68971,                0.74629,                0.56722,                0.91805,                 0.9195,                 1.0949,               0.009835,               0.009835,               0.009835
                      7,                0.95043,                0.99109,                 1.0905,                 0.7583,                0.64782,                0.74024,                0.55581,                0.94129,                0.92974,                 1.1105,               0.009802,               0.009802,               0.009802
                      8,                0.93987,                0.97374,                 1.0842,                0.76643,                0.68973,                0.77032,                0.58971,                0.91889,                 0.8927,                 1.1057,               0.009769,               0.009769,               0.009769
                      9,                0.92999,                0.95799,                 1.0882,                0.77696,                0.68348,                0.77382,                0.59104,                0.89425,                0.87185,                  1.093,               0.009736,               0.009736,               0.009736
                     10,                0.92239,                0.94915,                 1.0787,                0.76135,                0.72003,                0.77823,                0.59427,                0.91304,                0.88694,                 1.1094,               0.009703,               0.009703,               0.009703
                     11,                0.90812,                 0.9254,                 1.0764,                0.75224,                0.71641,                0.78825,                0.61072,                0.87272,                0.83684,                 1.0773,                0.00967,                0.00967,                0.00967
                     12,                0.89733,                0.91459,                 1.0657,                 0.7868,                0.71288,                0.79936,                0.61483,                0.88521,                 0.8362,                 1.0899,               0.009637,               0.009637,               0.009637
                     13,                0.88787,                0.90811,                 1.0644,                0.73713,                0.72226,                0.76825,                0.58939,                0.88873,                0.83809,                 1.0902,               0.009604,               0.009604,               0.009604
                     14,                0.88927,                0.88633,                 1.0665,                0.77361,                 0.7175,                0.79474,                0.61238,                0.88734,                0.84471,                 1.0933,               0.009571,               0.009571,               0.009571
                     15,                0.88692,                0.89119,                 1.0596,                0.82183,                0.69179,                0.79197,                0.61004,                0.86702,                0.83149,                 1.0778,               0.009538,               0.009538,               0.009538
                     16,                0.87927,                0.87414,                 1.0589,                0.79642,                0.72394,                 0.8065,                 0.6223,                 0.8861,                 0.8027,                 1.0981,               0.009505,               0.009505,               0.009505
                     17,                0.86797,                0.85111,                 1.0518,                 0.7754,                0.74297,                0.80115,                0.62961,                0.85216,                0.80093,                 1.0739,               0.009472,               0.009472,               0.009472
                     18,                0.85632,                0.84091,                 1.0437,                0.79427,                0.70643,                0.80986,                0.61911,                0.87352,                0.80462,                 1.0846,               0.009439,               0.009439,               0.009439
